ImageNumber,ObjectNumber,Mean_Spots_Primary_Objects_Intensity_IntegratedIntensity_Spots_eroded,Mean_Spots_Primary_Objects_Number_Object_Number,Number_Object_Number,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
1,1,nan,nan,1,1,1,nan,0.0,0
1,2,0.06778057722840458,58.5,2,2,1,nan,0.0,0
1,3,nan,nan,3,3,1,nan,0.0,0
1,4,nan,nan,4,4,1,nan,0.0,0
1,5,nan,nan,5,5,1,nan,0.0,0
1,6,nan,nan,6,6,1,nan,0.0,0
1,7,nan,nan,7,7,1,nan,0.0,0
1,8,nan,nan,8,8,1,nan,0.0,0
1,9,nan,nan,9,9,1,nan,0.0,0
1,10,nan,nan,10,10,1,nan,0.0,0
1,11,nan,nan,11,11,1,nan,0.0,0
1,12,0.024444953072816133,136.0,12,12,1,nan,0.0,0
1,13,0.19364947427741505,153.45454545454547,13,13,1,nan,0.0,0
1,14,nan,nan,14,14,1,nan,0.0,0
1,15,0.25085679632029495,168.0,15,15,1,nan,0.0,0
1,16,0.11393301435746253,167.8,16,16,1,nan,0.0,0
1,17,0.03669576835818589,183.71428571428572,17,17,1,nan,0.0,0
1,18,nan,nan,18,18,1,nan,0.0,0
1,19,0.05433737696148455,227.0,19,19,1,nan,0.0,0
1,20,0.0727489129640162,222.6,20,20,1,nan,0.0,0
1,21,0.13020828561857342,228.2,21,21,1,nan,0.0,0
1,22,nan,nan,22,22,1,nan,0.0,0
1,23,0.011886778520420194,216.0,23,23,1,nan,0.0,0
1,24,0.02359044784680009,237.0,24,24,1,nan,0.0,0
1,25,nan,nan,25,25,1,nan,0.0,0
1,26,nan,nan,26,26,1,nan,0.0,0
1,27,0.26140993530862033,275.5,27,27,1,nan,0.0,0
1,28,0.0298161287792027,316.0,28,28,1,nan,0.0,0
1,29,nan,nan,29,29,1,nan,0.0,0
1,30,nan,nan,30,30,1,nan,0.0,0
1,31,0.019485771423205733,423.0,31,31,1,nan,0.0,0
1,32,0.2581460324116051,502.2,32,32,1,nan,0.0,0
2,1,0.16104677082039415,65.8,1,1,2,1.0,1.0,1
2,2,0.09797309470983843,134.66666666666666,2,2,2,1.0,1.0,2
2,3,nan,nan,3,2,2,1.0,1.0,2
2,4,nan,nan,4,3,2,1.0,1.0,3
2,5,nan,nan,5,4,2,1.0,1.0,4
2,6,nan,nan,6,5,2,1.0,1.0,5
2,7,nan,nan,7,33,1,nan,0.0,0
2,8,nan,nan,8,6,2,1.0,1.0,6
2,9,nan,nan,9,7,2,1.0,1.0,7
2,10,nan,nan,10,8,2,1.0,1.0,8
2,11,0.029953460209071636,210.0,11,9,2,1.0,1.0,9
2,12,nan,nan,12,10,2,1.0,1.0,10
2,13,nan,nan,13,11,2,1.0,1.0,11
2,14,0.011490043485537171,276.0,14,14,2,1.0,1.0,14
2,15,0.15867284785296457,259.125,15,13,2,1.0,1.0,13
2,16,0.057970550609752536,304.1,16,16,2,1.0,1.0,16
2,17,0.37151649506995454,281.0,17,15,2,1.0,1.0,15
2,18,nan,nan,18,17,2,1.0,1.0,17
2,19,nan,nan,19,18,2,1.0,1.0,18
2,20,nan,nan,20,19,2,1.0,1.0,19
2,21,0.04548714519478381,354.0,21,23,2,1.0,1.0,23
2,22,0.05603112889961763,365.27272727272725,22,20,2,1.0,1.0,20
2,23,0.16847791275940835,374.2,23,21,2,1.0,1.0,21
2,24,nan,nan,24,22,2,1.0,1.0,22
2,25,0.03677424229681492,385.0,25,24,2,1.0,1.0,24
2,26,nan,nan,26,23,2,1.0,1.0,23
2,27,nan,nan,27,34,1,nan,0.0,0
2,28,0.025426617125049233,435.0,28,25,2,1.0,1.0,25
2,29,nan,nan,29,26,2,1.0,1.0,26
2,30,0.05034714285284281,433.5,30,27,2,1.0,1.0,27
2,31,nan,nan,31,29,2,1.0,1.0,29
2,32,nan,nan,32,30,2,1.0,1.0,30
2,33,nan,nan,33,31,2,1.0,1.0,31
2,34,0.1789569126250332,713.4705882352941,34,32,2,1.0,1.0,32
2,35,nan,nan,35,35,1,nan,0.0,0
2,36,nan,nan,36,36,1,nan,0.0,0
3,1,0.25817273373831995,98.025,1,1,3,0.9879002746758431,2.0,1
3,2,nan,nan,2,2,3,0.9282020387502097,2.0,2
3,3,nan,nan,3,2,3,0.7816191679680474,2.0,3
3,4,nan,nan,4,3,3,0.9794385138534802,2.0,4
3,5,nan,nan,5,4,3,0.9985269882867576,2.0,5
3,6,0.06282139359973371,244.0,6,37,1,nan,0.0,0
3,7,nan,nan,7,38,1,nan,0.0,0
3,8,nan,nan,8,5,3,0.9857115144777034,2.0,6
3,9,0.0279240095987916,261.0,9,33,2,1.0,2.0,7
3,10,nan,nan,10,6,3,0.8233120454042485,2.0,8
3,11,0.04910353245213628,274.0,11,39,1,nan,0.0,0
3,12,nan,nan,12,7,3,0.9241000614510659,2.0,9
3,13,nan,nan,13,8,3,0.8163395445079272,2.0,10
3,14,0.1447165661957115,337.0,14,9,3,0.9757753507890333,2.0,11
3,15,nan,nan,15,11,3,0.9333413752569449,2.0,13
3,16,0.07498283505750199,322.0,16,10,3,0.9674675187312834,2.0,12
3,17,nan,nan,17,40,1,nan,0.0,0
3,18,0.3682660564265557,402.42105263157896,18,13,3,0.9882459892247837,2.0,15
3,19,0.058386104802290596,395.44444444444446,19,14,3,0.7002241293397913,2.0,14
3,20,0.7669647659973374,407.07142857142856,20,15,3,0.7860081449140419,2.0,17
3,21,0.12993057304993272,444.3333333333333,21,16,3,0.9890908179862132,2.0,16
3,22,0.9022771204248644,476.1923076923077,22,15,3,0.6714944601330638,2.0,17
3,23,nan,nan,23,17,3,0.9400272018286554,2.0,18
3,24,nan,nan,24,18,3,0.8855173876065104,2.0,19
3,25,0.024475471815094352,436.0,25,17,3,0.9654519726689359,2.0,18
3,26,nan,nan,26,18,3,0.9976523555084207,2.0,19
3,27,nan,nan,27,19,3,0.8500000562197993,2.0,20
3,28,nan,nan,28,41,1,nan,0.0,0
3,29,nan,nan,29,23,3,0.08788199089922923,2.0,21
3,30,0.10983952654836078,529.6666666666666,30,42,1,nan,0.0,0
3,31,0.151870785832957,526.6666666666666,31,20,3,0.9864636695269013,2.0,22
3,32,0.04547188524156809,513.0,32,22,3,0.9738420881684607,2.0,24
3,33,nan,nan,33,34,2,1.0,2.0,27
3,34,0.07449454604648054,539.0,34,24,3,0.9547568585252089,2.0,25
3,35,0.108049136120826,555.0,35,24,3,0.8681503514537491,2.0,25
3,36,0.09275959432125092,563.0,36,25,3,0.869522524363761,2.0,28
3,37,nan,nan,37,26,3,0.25019463822701615,2.0,29
3,38,0.11647720145992935,574.0,38,27,3,0.9988321427798451,2.0,30
3,39,0.09401846525724977,594.0,39,25,3,0.9531899592967843,2.0,28
3,40,nan,nan,40,43,1,nan,0.0,0
3,41,0.06059357710182667,633.0,41,44,1,nan,0.0,0
3,42,nan,nan,42,45,1,nan,0.0,0
3,43,nan,nan,43,46,1,nan,0.0,0
3,44,nan,nan,44,29,3,0.8891227203171789,2.0,31
3,45,nan,nan,45,30,3,0.565344598122421,2.0,32
3,46,nan,nan,46,47,1,nan,0.0,0
3,47,nan,nan,47,48,1,nan,0.0,0
3,48,nan,nan,48,49,1,nan,0.0,0
3,49,0.04914422441894809,727.3333333333334,49,50,1,nan,0.0,0
3,50,0.04926375346258283,755.0,50,31,3,0.3505790592964775,2.0,33
3,51,nan,nan,51,51,1,nan,0.0,0
3,52,0.47359426598995924,852.0,52,52,1,nan,0.0,0
3,53,0.16606775106629357,924.5,53,53,1,nan,0.0,0
3,54,0.3167724590010305,909.4634146341464,54,32,3,0.8842531510652408,2.0,34
3,55,nan,nan,55,54,1,nan,0.0,0
3,56,0.017486839089542627,1019.0,56,55,1,nan,0.0,0
3,57,0.24369166581891477,1056.0,57,56,1,nan,0.0,0
3,58,nan,nan,58,35,2,1.0,2.0,35
3,59,0.12022583489306271,1175.0,59,36,2,1.0,2.0,36
3,60,0.14590677005859712,1195.0,60,57,1,nan,0.0,0
3,61,0.06400651104437809,1225.6666666666667,61,58,1,nan,0.0,0
3,62,nan,nan,62,59,1,nan,0.0,0
4,1,0.7157936171700793,115.20689655172414,1,1,4,0.9896863359456832,3.0,1
4,2,nan,nan,2,2,4,0.7566683746683441,3.0,3
4,3,nan,nan,3,60,1,nan,0.0,0
4,4,nan,nan,4,2,4,0.22004542855998907,3.0,3
4,5,nan,nan,5,3,4,0.9196248318422867,3.0,4
4,6,nan,nan,6,61,1,nan,0.0,0
4,7,nan,nan,7,4,4,0.9657128092741226,3.0,5
4,8,nan,nan,8,37,2,1.0,3.0,6
4,9,nan,nan,9,38,2,1.0,3.0,7
4,10,0.03254749393090606,271.0,10,33,3,0.997686634651142,3.0,9
4,11,0.02665751171298325,270.0,11,6,4,0.8639946254554999,3.0,10
4,12,nan,nan,12,62,1,nan,0.0,0
4,13,0.11781999558055152,289.6666666666667,13,39,2,1.0,3.0,11
4,14,0.2121919619385153,313.0,14,63,1,nan,0.0,0
4,15,nan,nan,15,7,4,0.8631789140899188,3.0,12
4,16,nan,nan,16,64,1,nan,0.0,0
4,17,nan,nan,17,8,4,0.456187805862399,3.0,13
4,18,0.04368658045617243,360.3333333333333,18,65,1,nan,0.0,0
4,19,nan,nan,19,9,4,0.9613228835841898,3.0,14
4,20,nan,nan,20,11,4,0.9461207331871219,3.0,15
4,21,0.3418272704584524,331.65,21,66,1,nan,0.0,0
4,22,0.058420691872015595,353.5,22,10,4,0.944197888132644,3.0,16
4,23,nan,nan,23,40,2,1.0,3.0,17
4,24,nan,nan,24,67,1,nan,0.0,0
4,25,0.3018837289069779,472.0,25,13,4,0.8604539104308805,3.0,18
4,26,nan,nan,26,68,1,nan,0.0,0
4,27,0.5021913076551365,493.07142857142856,27,15,4,0.37025738143593184,3.0,22
4,28,0.1871824236228489,468.0769230769231,28,14,4,0.73832826694538,3.0,19
4,29,0.17586140268338987,465.9230769230769,29,16,4,0.5958127120522821,3.0,21
4,30,0.7185359007911757,484.35,30,15,4,0.2995850542412262,3.0,20
4,31,0.15694582353656492,555.5555555555555,31,16,4,0.9504985775386458,3.0,21
4,32,0.024551766691729426,527.0,32,18,4,0.6332550703187813,3.0,24
4,33,0.06416418729349971,555.0,33,17,4,0.7412604176324602,3.0,25
4,34,nan,nan,34,14,4,0.6227575065526942,3.0,19
4,35,nan,nan,35,18,4,0.9444492192574542,3.0,26
4,36,nan,nan,36,19,4,0.8734235333482426,3.0,27
4,37,nan,nan,37,41,2,1.0,3.0,28
4,38,0.06738384207710624,609.0,38,23,4,0.18484980781915278,3.0,29
4,39,0.07333486040200417,584.75,39,20,4,0.8889401629003081,3.0,31
4,40,0.18374914256855845,600.5,40,42,2,1.0,3.0,30
4,41,0.03187609766609967,590.0,41,22,4,0.9835110972493009,3.0,32
4,42,0.2504539586370811,586.0,42,34,3,0.9893201229881299,3.0,33
4,43,nan,nan,43,24,4,0.9459393488574682,3.0,34
4,44,nan,nan,44,24,4,0.7006049420166206,3.0,35
4,45,nan,nan,45,27,4,0.28418985845228395,3.0,38
4,46,nan,nan,46,25,4,0.7427836101972799,3.0,36
4,47,0.07617303833831102,639.0,47,27,4,0.9939596864038455,3.0,38
4,48,0.043176928721368316,641.8,48,69,1,nan,0.0,0
4,49,0.05838101916015148,626.0,49,26,4,0.050188901268572526,3.0,37
4,50,nan,nan,50,25,4,0.910938501805479,3.0,39
4,51,0.03677424322813749,640.0,51,43,2,1.0,3.0,40
4,52,0.06778057641349733,665.0,52,44,2,1.0,3.0,41
4,53,nan,nan,53,45,2,1.0,3.0,42
4,54,0.1046311145182699,723.5,54,70,1,nan,0.0,0
4,55,nan,nan,55,44,2,1.0,3.0,41
4,56,0.1314157844365885,741.3333333333334,56,71,1,nan,0.0,0
4,57,0.04104676959104836,750.0,57,46,2,1.0,3.0,43
4,58,nan,nan,58,72,1,nan,0.0,0
4,59,0.030579080805182457,762.0,59,29,4,0.7823384391246947,3.0,44
4,60,0.5415732036344707,769.0,60,73,1,nan,0.0,0
4,61,0.08163576829247177,767.0,61,30,4,0.709383985477528,3.0,45
4,62,nan,nan,62,47,2,1.0,3.0,46
4,63,0.03778133960440755,786.0,63,48,2,1.0,3.0,47
4,64,nan,nan,64,49,2,1.0,3.0,48
4,65,0.04026092938147485,804.0,65,74,1,nan,0.0,0
4,66,0.14333562359679491,798.2,66,50,2,1.0,3.0,49
4,67,0.06638437521178275,834.5,67,31,4,0.3941809325724644,3.0,50
4,68,0.1747463196516037,835.5,68,75,1,nan,0.0,0
4,69,nan,nan,69,76,1,nan,0.0,0
4,70,0.2708720552269369,884.2,70,77,1,nan,0.0,0
4,71,0.11856260057538748,916.5,71,52,2,1.0,3.0,52
4,72,0.3585488685639575,948.0,72,51,2,1.0,3.0,51
4,73,0.22878360311086807,1011.4444444444445,73,53,2,1.0,3.0,53
4,74,0.7400996231340936,1011.6190476190476,74,32,4,0.900261884625139,3.0,54
4,75,0.19617507187649608,1089.3333333333333,75,78,1,nan,0.0,0
4,76,0.21994354319758713,1100.0,76,79,1,nan,0.0,0
4,77,nan,nan,77,80,1,nan,0.0,0
4,78,0.08474860875867307,1123.0,78,54,2,1.0,3.0,55
4,79,0.23584954692050814,1131.6,79,55,2,1.0,3.0,56
4,80,0.1076269686066856,1159.6666666666667,80,81,1,nan,0.0,0
4,81,0.35764477332122624,1167.25,81,56,2,1.0,3.0,57
4,82,nan,nan,82,82,1,nan,0.0,0
4,83,nan,nan,83,83,1,nan,0.0,0
4,84,nan,nan,84,84,1,nan,0.0,0
4,85,0.15764095595416924,1252.6666666666667,85,85,1,nan,0.0,0
4,86,0.04229800868779421,1273.0,86,35,3,0.9726205410699404,3.0,58
4,87,0.10857557074632496,1276.5,87,86,1,nan,0.0,0
4,88,0.23846145523046808,1374.2857142857142,88,36,3,0.8426320322142486,3.0,59
4,89,0.29513114341534674,1345.2903225806451,89,57,2,1.0,3.0,60
4,90,0.08339491509832442,1433.857142857143,90,58,2,1.0,3.0,61
4,91,nan,nan,91,59,2,1.0,3.0,62
4,92,0.036652171169407666,1539.5,92,87,1,nan,0.0,0
4,93,0.32963254673813935,1596.40625,93,88,1,nan,0.0,0
5,1,0.045777065912261605,21.0,1,89,1,nan,0.0,0
5,2,nan,nan,2,90,1,nan,0.0,0
5,3,0.7809282598279726,98.61666666666666,3,1,5,0.6462884764193891,4.0,1
5,4,nan,nan,4,91,1,nan,0.0,0
5,5,0.6799365699823413,127.5,5,1,5,0.9948929432338516,4.0,1
5,6,0.1548434696160257,176.0,6,60,2,1.0,4.0,3
5,7,nan,nan,7,2,5,0.31862950395783635,4.0,4
5,8,nan,nan,8,3,5,0.8415116252925013,4.0,5
5,9,nan,nan,9,61,2,1.0,4.0,6
5,10,nan,nan,10,92,1,nan,0.0,0
5,11,nan,nan,11,93,1,nan,0.0,0
5,12,0.0377813377417624,233.0,12,37,3,0.9978264063195689,4.0,8
5,13,nan,nan,13,94,1,nan,0.0,0
5,14,nan,nan,14,38,3,0.8369426853901077,4.0,9
5,15,nan,nan,15,6,5,0.9124422236777673,4.0,11
5,16,0.062417028995696455,244.0,16,33,4,0.5008320655840239,4.0,10
5,17,nan,nan,17,62,2,1.0,4.0,12
5,18,0.09170004674524534,260.75,18,39,3,0.9064655124001686,4.0,13
5,19,nan,nan,19,63,2,1.0,4.0,14
5,20,nan,nan,20,7,5,0.3745703385309916,4.0,15
5,21,nan,nan,21,64,2,1.0,4.0,16
5,22,0.7788286987118996,301.61538461538464,22,66,2,1.0,4.0,21
5,23,nan,nan,23,8,5,0.8262235156762486,4.0,17
5,24,0.3875791609752923,370.0,24,8,5,0.24935178744182468,4.0,17
5,25,nan,nan,25,65,2,1.0,4.0,18
5,26,nan,nan,26,9,5,0.9713411756026096,4.0,19
5,27,nan,nan,27,13,5,0.9226771152073168,4.0,25
5,28,0.4500614626126157,345.0,28,66,2,1.0,4.0,21
5,29,0.08823843668762814,344.1764705882353,29,10,5,0.9497230507679452,4.0,22
5,30,nan,nan,30,11,5,0.9526701439160405,4.0,20
5,31,nan,nan,31,40,3,0.9996522176617683,4.0,23
5,32,nan,nan,32,67,2,1.0,4.0,24
5,33,0.3061417597346008,444.8333333333333,33,13,5,0.4158797980981372,4.0,25
5,34,nan,nan,34,68,2,1.0,4.0,26
5,35,0.3018457575056415,462.9230769230769,35,15,5,0.4262105273798027,4.0,27
5,36,0.38344983221031725,436.2307692307692,36,14,5,0.7877186115851732,4.0,28
5,37,0.1807520924382569,453.8235294117647,37,16,5,0.608577442974808,4.0,29
5,38,0.4441405390888186,443.17857142857144,38,15,5,0.3435868985034108,4.0,30
5,39,nan,nan,39,95,1,nan,0.0,0
5,40,nan,nan,40,17,5,0.7859401038054354,4.0,33
5,41,nan,nan,41,14,5,0.5939674505740803,4.0,34
5,42,0.20863946988538373,527.5,42,16,5,0.8975707869841842,4.0,31
5,43,nan,nan,43,18,5,0.11415386665150884,4.0,32
5,44,nan,nan,44,41,3,0.9906918611035029,4.0,37
5,45,nan,nan,45,19,5,0.9141022483841404,4.0,36
5,46,nan,nan,46,42,3,0.9638645057820583,4.0,40
5,47,nan,nan,47,96,1,nan,0.0,0
5,48,nan,nan,48,22,5,0.9767660986755771,4.0,41
5,49,nan,nan,49,97,1,nan,0.0,0
5,50,0.6353398945648223,550.0,50,34,4,0.8417343688268635,4.0,42
5,51,nan,nan,51,24,5,0.6131995844858302,4.0,43
5,52,0.041847867891192436,562.0,52,98,1,nan,0.0,0
5,53,0.23697261419147253,582.0,53,99,1,nan,0.0,0
5,54,0.024856947013176978,598.5,54,27,5,0.9931128313519894,4.0,47
5,55,0.2641336671076715,573.0,55,26,5,0.1674475510971717,4.0,49
5,56,0.12254622324059407,600.4666666666667,56,69,2,1.0,4.0,48
5,57,0.11032273108139634,591.0,57,43,3,0.9999675827500084,4.0,51
5,58,nan,nan,58,45,3,0.9984524214864723,4.0,53
5,59,nan,nan,59,45,3,0.4895922820165283,4.0,53
5,60,0.15745022159535438,688.0,60,70,2,1.0,4.0,54
5,61,nan,nan,61,44,3,0.8067669981391007,4.0,55
5,62,nan,nan,62,44,3,0.9786643339505073,4.0,55
5,63,0.15075259755498596,726.7142857142857,63,100,1,nan,0.0,0
5,64,0.21374619915150106,727.8571428571429,64,71,2,1.0,4.0,56
5,65,nan,nan,65,29,5,0.6416414368380018,4.0,59
5,66,0.08214948745444417,737.0,66,46,3,0.9175739219026151,4.0,57
5,67,0.07509727776050568,761.0,67,101,1,nan,0.0,0
5,68,0.6814221409149468,764.0,68,72,2,1.0,4.0,58
5,69,0.37376974360086024,766.0,69,73,2,1.0,4.0,60
5,70,nan,nan,70,30,5,0.7500039305501064,4.0,61
5,71,nan,nan,71,102,1,nan,0.0,0
5,72,nan,nan,72,47,3,0.9713102723130494,4.0,62
5,73,nan,nan,73,48,3,0.8317158046504026,4.0,63
5,74,nan,nan,74,49,3,0.9880492629745722,4.0,64
5,75,0.10304587153303954,786.4444444444445,75,50,3,0.9923803932040559,4.0,66
5,76,0.06375982379540801,793.0,76,74,2,1.0,4.0,65
5,77,0.337453274987638,810.75,77,103,1,nan,0.0,0
5,78,0.5972228609025478,819.0,78,75,2,1.0,4.0,68
5,79,nan,nan,79,76,2,1.0,4.0,69
5,80,0.7257343460805714,836.0,80,104,1,nan,0.0,0
5,81,0.4161593072515513,884.0,81,77,2,1.0,4.0,70
5,82,nan,nan,82,52,3,0.9599067583367954,4.0,71
5,83,0.3778286436572671,922.0,83,51,3,0.9988650153420365,4.0,72
5,84,1.0872063315163056,991.5333333333333,84,32,5,0.9605762759957237,4.0,74
5,85,0.5019668905530125,1002.0,85,53,3,0.9928966399483717,4.0,73
5,86,0.5012115169284416,1008.1034482758621,86,32,5,0.18973177989427928,4.0,74
5,87,0.4599145530257374,1028.8,87,53,3,0.4278294482645356,4.0,73
5,88,nan,nan,88,105,1,nan,0.0,0
5,89,0.7251087218755856,1111.5,89,78,2,1.0,4.0,75
5,90,0.0852521558990702,1148.5,90,79,2,1.0,4.0,76
5,91,nan,nan,91,80,2,1.0,4.0,77
5,92,nan,nan,92,106,1,nan,0.0,0
5,93,nan,nan,93,54,3,0.5443991042370374,4.0,78
5,94,0.1290455482667312,1166.0,94,54,3,0.9982816553607959,4.0,78
5,95,0.5003992820469042,1173.0,95,55,3,0.9993174501697821,4.0,79
5,96,nan,nan,96,107,1,nan,0.0,0
5,97,0.399046823149547,1210.7,97,81,2,1.0,4.0,80
5,98,0.021606775233522058,1220.5,98,56,3,0.40608172323009445,4.0,81
5,99,nan,nan,99,84,2,1.0,4.0,84
5,100,nan,nan,100,82,2,1.0,4.0,82
5,101,nan,nan,101,108,1,nan,0.0,0
5,102,nan,nan,102,83,2,1.0,4.0,83
5,103,nan,nan,103,84,2,1.0,4.0,84
5,104,0.2513275371165946,1294.5,104,85,2,1.0,4.0,85
5,105,0.04808117860617737,1323.3333333333333,105,109,1,nan,0.0,0
5,106,0.28990615776274353,1333.5,106,86,2,1.0,4.0,87
5,107,0.058335241163149476,1383.0,107,36,4,0.1965213484544898,4.0,88
5,108,0.07453015012045701,1414.0,108,36,4,0.47946280604506164,4.0,88
5,109,0.18076735078904996,1419.5294117647059,109,110,1,nan,0.0,0
5,110,0.6356409370300493,1432.357142857143,110,57,3,0.9519852764692535,4.0,89
5,111,0.3200362547597086,1493.8181818181818,111,36,4,0.9357006220994504,4.0,88
5,112,0.21122555520075062,1537.3333333333333,112,58,3,0.9984315028865118,4.0,90
5,113,nan,nan,113,59,3,0.8735643959132449,4.0,91
5,114,1.3692937711408983,1580.3333333333333,114,111,1,nan,0.0,0
5,115,0.49643702316097915,1621.0,115,112,1,nan,0.0,0
5,116,0.047867552532504,1652.6666666666667,116,87,2,1.0,4.0,92
5,117,0.4383107835116486,1701.909090909091,117,88,2,1.0,4.0,93
6,1,0.04823376890271902,9.0,1,89,2,1.0,5.0,1
6,2,nan,nan,2,90,2,1.0,5.0,2
6,3,0.7968344209746093,70.71739130434783,3,1,6,0.6568578462908315,5.0,3
6,4,0.03581292415037751,73.0,4,91,2,1.0,5.0,4
6,5,0.6018544850715747,99.13333333333334,5,1,6,0.9757069700388946,5.0,5
6,6,0.11700618133181706,138.25,6,60,3,0.995758747403877,5.0,6
6,7,nan,nan,7,3,6,0.8400186296776818,5.0,8
6,8,nan,nan,8,61,3,0.9452234090018907,5.0,9
6,9,nan,nan,9,61,3,0.7069144136847675,5.0,9
6,10,0.035828184336423874,203.5,10,37,4,0.9876724775272614,5.0,12
6,11,nan,nan,11,92,2,1.0,5.0,10
6,12,nan,nan,12,93,2,1.0,5.0,11
6,13,nan,nan,13,94,2,1.0,5.0,13
6,14,nan,nan,14,6,6,0.9423739828887637,5.0,15
6,15,0.05183489783667028,215.33333333333334,15,33,5,0.7378443915899993,5.0,16
